frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
665,27.667,0.98,1,0.861396,0.24273,-0.446182,0.877263,0.147355,-0.456832,1.092,0.408,2.364,-1.277,2.651
666,27.708,0.98,1,0.882956,0.221891,-0.413706,0.884407,0.182196,-0.429684,1.126,0.447,2.283,-1.291,2.573
667,27.75,0.98,1,0.838373,0.257002,-0.480708,0.874516,0.178611,-0.450911,1.073,0.437,2.233,-1.279,2.509
668,27.792,0.98,1,0.840121,0.24336,-0.48474,0.87664,0.193221,-0.440645,1.076,0.441,2.267,-1.252,2.547
669,27.833,0.98,1,0.853317,0.245144,-0.460168,0.878447,0.168844,-0.447015,1.088,0.428,2.33,-1.238,2.624
670,27.875,0.98,1,0.852527,0.234546,-0.467104,0.866555,0.164465,-0.471205,1.071,0.402,2.315,-1.256,2.627
671,27.917,0.98,1,0.850536,0.24093,-0.467483,0.873071,0.178626,-0.453696,1.08,0.427,2.379,-1.226,2.678
672,27.958,0.98,1,0.860214,0.236065,-0.452001,0.883067,0.166022,-0.438896,1.098,0.424,2.371,-1.236,2.672
673,28.0,0.98,1,0.873679,0.23293,-0.427118,0.878653,0.170083,-0.446139,1.108,0.432,2.352,-1.259,2.641
674,28.042,0.98,1,0.860712,0.232772,-0.452761,0.879766,0.180558,-0.439784,1.097,0.434,2.291,-1.274,2.579
675,28.083,0.98,1,0.843006,0.23868,-0.48205,0.889266,0.175665,-0.422312,1.09,0.43,2.24,-1.286,2.519
676,28.125,0.98,1,0.853269,0.225119,-0.470376,0.892758,0.184982,-0.41081,1.103,0.436,2.186,-1.302,2.469
677,28.167,0.98,1,0.847876,0.215045,-0.484626,0.883917,0.187079,-0.428593,1.086,0.415,2.176,-1.296,2.444
678,28.208,0.98,1,0.868402,0.201151,-0.453228,0.886976,0.214199,-0.409137,1.114,0.449,2.156,-1.295,2.414
679,28.25,0.98,1,0.866142,0.213661,-0.451827,0.871354,0.185315,-0.454313,1.09,0.415,2.08,-1.298,2.319
680,28.292,0.98,1,0.865748,0.221062,-0.449013,0.87047,0.194136,-0.45232,1.092,0.432,2.064,-1.299,2.291
681,28.333,0.98,1,0.863863,0.234026,-0.446063,0.864721,0.210111,-0.456192,1.09,0.457,2.036,-1.294,2.235
682,28.375,0.98,1,0.864822,0.235128,-0.443619,0.864777,0.215112,-0.453748,1.092,0.465,2.027,-1.29,2.193
683,28.417,0.98,1,0.867716,0.295705,-0.399534,0.842886,0.260656,-0.470745,1.1,0.569,2.049,-1.279,2.18
684,28.458,0.98,1,0.867531,0.218027,-0.44705,0.8463,0.245089,-0.472978,1.078,0.466,2.154,-1.265,2.263
685,28.5,0.98,1,0.871637,0.250179,-0.421496,0.84712,0.254393,-0.466554,1.094,0.517,2.109,-1.267,2.191
686,28.542,0.98,1,0.860669,0.234008,-0.452204,0.874093,0.252532,-0.414956,1.107,0.511,2.069,-1.276,2.154
687,28.583,0.98,1,0.878831,0.249668,-0.406599,0.87021,0.252953,-0.422788,1.128,0.545,2.06,-1.281,2.145
688,28.625,0.98,1,0.865796,0.228592,-0.445133,0.883733,0.233915,-0.405338,1.118,0.498,2.071,-1.273,2.131
