frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
25,1.0,0.98,1,0.831992,0.292615,-0.471344,0.833553,0.258217,-0.488378,1.048,0.521,1.69,-1.219,1.945
26,1.042,0.98,1,0.836148,0.250849,-0.487782,0.844638,0.254446,-0.471002,1.052,0.485,1.747,-1.235,2.01
27,1.083,0.98,1,0.869653,0.243379,-0.4295,0.858153,0.209853,-0.468546,1.091,0.467,1.804,-1.252,2.115
28,1.125,0.98,1,0.85749,0.257128,-0.445642,0.842527,0.22945,-0.487341,1.069,0.481,1.734,-1.249,2.042
29,1.167,0.98,1,0.871041,0.196115,-0.450364,0.844113,0.212278,-0.492352,1.068,0.409,1.557,-1.271,1.911
30,1.208,0.98,1,0.86879,0.18868,-0.457824,0.843293,0.214308,-0.492878,1.064,0.401,1.638,-1.262,1.982
31,1.25,0.98,1,0.860015,0.215638,-0.462465,0.832265,0.209178,-0.5134,1.048,0.411,1.629,-1.271,1.987
36,1.458,0.98,1,0.883227,0.20888,-0.419855,0.840982,0.199484,-0.502947,1.079,0.417,1.682,-1.257,2.122
37,1.5,0.98,1,0.867655,0.273303,-0.415308,0.831315,0.249558,-0.496624,1.078,0.521,1.756,-1.213,2.182
38,1.542,0.98,1,0.799161,0.388902,-0.458363,0.837601,0.264764,-0.477833,1.051,0.61,1.679,-1.185,2.082
39,1.583,0.98,1,0.777199,0.392392,-0.491924,0.814986,0.307986,-0.490859,1.018,0.619,1.616,-1.146,1.985
40,1.625,0.98,1,0.776522,0.410711,-0.477838,0.818972,0.342635,-0.460311,1.039,0.677,1.669,-1.124,2.019
41,1.667,0.98,1,0.755334,0.433749,-0.491256,0.805145,0.351926,-0.477378,1.015,0.681,1.553,-1.11,1.904
42,1.708,0.98,1,0.756128,0.436946,-0.487185,0.770724,0.374117,-0.515772,0.99,0.68,1.68,-1.077,1.972
43,1.75,0.98,1,0.753423,0.439548,-0.489031,0.75529,0.398245,-0.520517,0.981,0.693,1.745,-1.054,2.002
44,1.792,0.98,1,0.748246,0.442274,-0.494491,0.754866,0.406205,-0.514952,0.979,0.699,1.788,-1.034,2.035
45,1.833,0.98,1,0.752474,0.463074,-0.468343,0.752332,0.416048,-0.510785,0.994,0.732,1.807,-1.019,2.046
46,1.875,0.98,1,0.742276,0.470759,-0.476877,0.745968,0.428988,-0.509412,0.986,0.74,1.823,-1.002,2.062
