frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
484,20.125,0.82,1,0.486408,0.551,-0.678091,0.486776,0.470267,-0.736137,0.603,0.625,1.126,-0.634,1.135
486,20.208,0.77,1,0.510991,0.534519,-0.673185,0.491166,0.479281,-0.727355,0.621,0.627,1.13,-0.652,1.148
489,20.333,0.82,1,0.468455,0.537164,-0.701431,0.444516,0.494897,-0.746647,0.563,0.619,1.111,-0.615,1.141
2237,93.167,0.93,1,0.695238,0.640007,-0.327163,0.711811,0.487821,-0.505328,1.037,0.935,1.233,-0.943,1.218
2238,93.208,0.98,1,0.673218,0.659078,-0.335252,0.676015,0.542943,-0.498214,1.017,0.965,1.384,-0.914,1.334
2239,93.25,0.98,1,0.67063,0.666197,-0.326246,0.718001,0.562028,-0.410609,1.083,1.03,1.478,-0.899,1.415
2240,93.292,0.98,1,0.677829,0.672064,-0.298123,0.720575,0.58496,-0.372283,1.124,1.081,1.571,-0.892,1.498
2241,93.333,0.98,1,0.669862,0.678186,-0.302238,0.70643,0.59817,-0.37835,1.112,1.081,1.639,-0.891,1.569
2242,93.375,0.98,1,0.673544,0.674626,-0.302025,0.724001,0.588322,-0.360138,1.128,1.088,1.698,-0.895,1.632
2243,93.417,0.98,1,0.678744,0.667476,-0.30624,0.724788,0.593682,-0.349606,1.134,1.091,1.747,-0.911,1.69
2248,93.625,0.98,1,0.71816,0.617928,-0.320018,0.696391,0.525364,-0.488909,1.051,0.955,1.397,-1.021,1.443
2249,93.667,0.98,1,0.691627,0.625131,-0.361751,0.701724,0.52594,-0.480593,1.027,0.939,1.262,-0.995,1.285
2250,93.708,0.88,1,0.682524,0.611491,-0.400299,0.68353,0.479911,-0.549975,0.963,0.854,1.077,-0.982,1.101
2251,93.75,0.98,1,0.658823,0.601552,-0.45176,0.689412,0.447817,-0.56936,0.923,0.799,0.981,-0.978,1.0
7835,326.417,0.98,1,0.169786,0.617489,-0.768036,0.014623,0.479783,-0.877265,0.112,0.588,0.39,-0.17,0.274
7850,327.042,0.77,1,0.142271,0.515939,-0.844729,-0.263838,0.601021,-0.754429,-0.076,0.61,0.782,0.157,0.127
8307,346.083,0.98,1,0.13397,0.633537,-0.762026,-0.167401,0.638528,-0.751171,-0.022,0.699,0.523,0.058,0.052
8310,346.208,0.98,1,0.128451,0.656344,-0.743446,-0.157734,0.664567,-0.730391,-0.02,0.731,0.538,0.058,0.037
8311,346.25,0.98,1,0.124939,0.651545,-0.748251,-0.165692,0.676628,-0.71744,-0.028,0.736,0.549,0.062,0.034
8312,346.292,0.98,1,0.116008,0.6802,-0.723788,-0.198438,0.686529,-0.6995,-0.058,0.765,0.557,0.064,0.03
8324,346.792,0.98,1,0.131383,0.664898,-0.735289,-0.187314,0.649187,-0.737204,-0.038,0.729,0.534,0.061,0.029
8325,346.833,0.98,1,0.128663,0.628549,-0.767055,-0.192006,0.646553,-0.738311,-0.042,0.703,0.52,0.062,0.032
8338,347.375,0.98,1,0.103837,0.727583,-0.678115,-0.162421,0.687551,-0.707738,-0.042,0.796,0.522,0.07,0.033
8341,347.5,0.98,1,0.114051,0.708995,-0.69593,-0.165391,0.669823,-0.723867,-0.036,0.771,0.512,0.067,0.032
8344,347.625,0.98,1,0.120308,0.706995,-0.69691,-0.162402,0.660225,-0.7333,-0.029,0.763,0.513,0.063,0.029
8435,351.417,0.88,1,0.142065,0.558826,-0.817026,-0.126007,0.673312,-0.728542,0.01,0.673,0.464,0.174,-0.325
9794,408.042,0.88,1,0.246249,0.538389,-0.805914,-0.110048,0.616831,-0.779365,0.086,0.63,0.451,-0.096,0.047
9795,408.083,0.88,1,0.275183,0.517054,-0.810512,-0.162168,0.660646,-0.732972,0.073,0.652,0.485,-0.088,0.026
9796,408.125,0.88,1,0.205542,0.549064,-0.810112,-0.131112,0.667499,-0.732977,0.048,0.668,0.506,-0.075,0.002
9797,408.167,0.88,1,0.173207,0.638013,-0.750293,-0.101055,0.687953,-0.718686,0.049,0.734,0.557,-0.064,-0.024
9798,408.208,0.88,1,0.156825,0.662265,-0.732674,-0.051328,0.699621,-0.712668,0.073,0.756,0.586,-0.052,-0.05
9799,408.25,0.88,1,0.176886,0.673157,-0.718033,-0.061155,0.693323,-0.718027,0.08,0.761,0.562,-0.047,-0.078
9800,408.292,0.88,1,0.102213,0.674711,-0.730971,-0.01189,0.715559,-0.698451,0.063,0.772,0.603,-0.016,-0.11
9801,408.333,0.88,1,0.110556,0.648743,-0.752934,0.020957,0.684683,-0.72854,0.089,0.733,0.602,-0.004,-0.139
9802,408.375,0.88,1,0.131847,0.62826,-0.76675,0.074676,0.704301,-0.705963,0.139,0.735,0.654,0.019,-0.171
