frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
1,0.0,0.98,1,0.886927,0.250147,-0.388314,0.889329,0.205092,-0.408694,1.149,0.519,2.247,-1.269,2.498
2,0.033,0.98,1,0.893186,0.235883,-0.382856,0.899061,0.185493,-0.396587,1.161,0.496,2.295,-1.292,2.566
3,0.067,0.98,1,0.887713,0.242206,-0.391538,0.892522,0.193107,-0.407571,1.149,0.499,2.225,-1.297,2.486
4,0.1,0.98,1,0.885297,0.241808,-0.397212,0.888815,0.191404,-0.41638,1.141,0.489,2.113,-1.318,2.381
5,0.133,0.98,1,0.881188,0.24786,-0.402583,0.879629,0.195851,-0.433468,1.128,0.488,1.924,-1.347,2.207
6,0.167,0.98,1,0.879541,0.246669,-0.406893,0.876932,0.192592,-0.440338,1.121,0.478,1.81,-1.357,2.104
7,0.2,0.98,1,0.878287,0.253118,-0.40564,0.876042,0.20087,-0.438408,1.122,0.493,1.808,-1.343,2.088
8,0.233,0.98,1,0.874482,0.259671,-0.409698,0.871823,0.205119,-0.444804,1.116,0.498,1.732,-1.341,2.032
9,0.267,0.98,1,0.872827,0.264578,-0.410088,0.871529,0.206961,-0.444527,1.115,0.504,1.717,-1.334,2.053
10,0.3,0.98,1,0.87151,0.269403,-0.409747,0.872654,0.207203,-0.442201,1.116,0.51,1.718,-1.326,2.1
11,0.333,0.98,1,0.864772,0.280326,-0.416637,0.867605,0.216181,-0.447803,1.108,0.521,1.686,-1.311,2.096
12,0.367,0.98,1,0.856132,0.302703,-0.418818,0.860978,0.238981,-0.449004,1.103,0.558,1.675,-1.275,2.099
13,0.4,0.98,1,0.85007,0.323701,-0.415449,0.855599,0.260792,-0.447145,1.103,0.596,1.655,-1.241,2.075
14,0.433,0.98,1,0.833836,0.345333,-0.430654,0.834369,0.285236,-0.471665,1.075,0.61,1.555,-1.207,1.954
15,0.467,0.88,1,0.830551,0.350144,-0.433111,0.830785,0.294899,-0.47205,1.072,0.619,1.569,-1.186,1.933
16,0.5,0.88,1,0.827666,0.358027,-0.432187,0.826106,0.306377,-0.472949,1.07,0.633,1.592,-1.17,1.923
17,0.533,0.88,1,0.825837,0.365139,-0.42973,0.824327,0.317711,-0.468556,1.072,0.65,1.615,-1.157,1.914
