frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
2,0.033,0.98,1,0.838147,0.251269,-0.484122,0.830329,0.183176,-0.526308,1.026,0.406,0.895,-1.238,1.367
52,1.701,0.88,1,0.796243,0.294311,-0.528563,0.773647,0.214791,-0.5961,0.949,0.425,0.765,-1.154,1.285
53,1.734,0.88,1,0.786674,0.336128,-0.517844,0.77397,0.266366,-0.574474,0.96,0.504,0.912,-1.124,1.388
54,1.767,0.93,1,0.781344,0.361089,-0.509035,0.769466,0.296933,-0.565467,0.965,0.549,0.998,-1.118,1.447
55,1.801,0.93,1,0.785148,0.362276,-0.502294,0.773632,0.300554,-0.557817,0.974,0.559,1.031,-1.124,1.46
56,1.834,0.98,1,0.792769,0.352409,-0.497319,0.774904,0.290187,-0.561529,0.977,0.545,0.982,-1.137,1.395
57,1.867,0.98,1,0.797554,0.335613,-0.50127,0.773782,0.270642,-0.572725,0.971,0.514,0.865,-1.14,1.263
58,1.901,0.93,1,0.789476,0.332918,-0.515649,0.756311,0.268368,-0.596634,0.947,0.496,0.73,-1.103,1.089
59,1.934,0.93,1,0.780468,0.34519,-0.521262,0.738706,0.28675,-0.60999,0.931,0.509,0.72,-1.084,1.008
60,1.967,0.93,1,0.788266,0.336961,-0.514872,0.742952,0.28189,-0.607091,0.938,0.504,0.73,-1.09,0.974
61,2.001,0.93,1,0.788001,0.339924,-0.513328,0.735464,0.28976,-0.61248,0.934,0.51,0.75,-1.091,0.958
62,2.034,0.93,1,0.795829,0.332492,-0.506069,0.746056,0.286198,-0.601241,0.948,0.51,0.771,-1.113,0.969
63,2.067,0.98,1,0.814784,0.317991,-0.484777,0.765082,0.272627,-0.583372,0.976,0.505,0.786,-1.141,0.962
64,2.101,0.93,1,0.821888,0.324642,-0.468089,0.77572,0.284427,-0.563347,0.998,0.533,0.853,-1.162,1.011
65,2.134,0.93,1,0.837478,0.320974,-0.442274,0.80028,0.288428,-0.525701,1.037,0.562,1.011,-1.2,1.144
66,2.167,0.93,1,0.856848,0.318209,-0.405653,0.826382,0.29476,-0.479801,1.087,0.606,1.255,-1.24,1.359
67,2.201,0.88,1,0.86466,0.314648,-0.391613,0.837782,0.301224,-0.455396,1.109,0.629,1.455,-1.249,1.518
68,2.234,0.98,1,0.861503,0.332054,-0.384127,0.840353,0.336305,-0.425096,1.127,0.69,1.765,-1.192,1.735
69,2.267,0.98,1,0.855775,0.346741,-0.383954,0.834516,0.361768,-0.415579,1.129,0.725,1.894,-1.135,1.817
70,2.301,0.98,1,0.850424,0.357596,-0.385882,0.828566,0.376368,-0.414519,1.126,0.742,1.908,-1.111,1.817
71,2.334,0.98,1,0.851441,0.358818,-0.38249,0.828051,0.377567,-0.414457,1.128,0.746,1.927,-1.105,1.835
72,2.367,0.98,1,0.853286,0.355451,-0.381521,0.830023,0.372826,-0.414805,1.129,0.741,1.941,-1.107,1.856
73,2.401,0.98,1,0.855302,0.351296,-0.380854,0.832828,0.365409,-0.415781,1.13,0.733,1.94,-1.114,1.864
74,2.434,0.98,1,0.855531,0.350936,-0.380671,0.833681,0.364775,-0.414626,1.131,0.733,1.939,-1.117,1.866
75,2.467,0.98,1,0.857278,0.34999,-0.3776,0.835773,0.363713,-0.411336,1.135,0.735,1.931,-1.123,1.865
76,2.501,0.98,1,0.857751,0.347696,-0.378642,0.837934,0.357729,-0.412185,1.134,0.728,1.922,-1.127,1.867
77,2.534,0.98,1,0.855601,0.34855,-0.382702,0.835184,0.357624,-0.417819,1.129,0.723,1.877,-1.134,1.827
78,2.567,0.98,1,0.853026,0.352034,-0.385251,0.833035,0.361207,-0.419026,1.126,0.725,1.871,-1.13,1.823
79,2.601,0.98,1,0.855847,0.349041,-0.381702,0.836105,0.35561,-0.417696,1.129,0.722,1.869,-1.135,1.83
80,2.634,0.98,1,0.855471,0.350592,-0.381123,0.835724,0.358,-0.416415,1.13,0.726,1.876,-1.134,1.834
81,2.667,0.98,1,0.852783,0.354536,-0.383491,0.832993,0.362904,-0.417641,1.127,0.73,1.871,-1.129,1.83
82,2.701,0.98,1,0.849846,0.35695,-0.387748,0.828747,0.366055,-0.4233,1.121,0.728,1.831,-1.125,1.786
83,2.734,0.93,1,0.844466,0.351864,-0.403818,0.822735,0.361312,-0.438817,1.103,0.702,1.768,-1.126,1.717
84,2.767,0.98,1,0.852392,0.33298,-0.403179,0.831863,0.340284,-0.438419,1.107,0.675,1.761,-1.147,1.729
85,2.801,0.93,1,0.843889,0.346193,-0.409881,0.822058,0.356468,-0.444017,1.097,0.689,1.763,-1.127,1.704
86,2.834,0.98,1,0.853893,0.33397,-0.399162,0.833912,0.339577,-0.435061,1.112,0.679,1.754,-1.151,1.721
87,2.868,0.98,1,0.847938,0.349945,-0.398171,0.82778,0.358981,-0.431177,1.111,0.707,1.825,-1.129,1.766
88,2.901,0.98,1,0.848131,0.353187,-0.394883,0.82835,0.362082,-0.427472,1.115,0.716,1.829,-1.128,1.775
89,2.934,0.98,1,0.847079,0.355113,-0.395414,0.827291,0.363703,-0.428146,1.114,0.718,1.813,-1.129,1.76
90,2.968,0.98,1,0.846552,0.356058,-0.395692,0.826931,0.364571,-0.428105,1.113,0.719,1.814,-1.127,1.76
91,3.001,0.98,1,0.84836,0.354987,-0.392772,0.830037,0.363797,-0.422719,1.119,0.722,1.839,-1.125,1.791
92,3.034,0.98,1,0.847563,0.356453,-0.393164,0.829481,0.365415,-0.422415,1.118,0.725,1.855,-1.121,1.807
93,3.068,0.98,1,0.847016,0.356678,-0.394138,0.828357,0.365487,-0.424552,1.116,0.723,1.845,-1.121,1.797
94,3.101,0.98,1,0.846747,0.355769,-0.395536,0.828644,0.36416,-0.425132,1.115,0.72,1.844,-1.12,1.796
95,3.134,0.98,1,0.846538,0.35598,-0.395792,0.828147,0.362893,-0.42718,1.114,0.718,1.837,-1.12,1.79
96,3.168,0.98,1,0.847246,0.355315,-0.394873,0.829316,0.362343,-0.425374,1.116,0.719,1.841,-1.12,1.795
97,3.201,0.98,1,0.846692,0.355765,-0.395657,0.827828,0.362342,-0.428264,1.114,0.717,1.824,-1.121,1.78
98,3.234,0.98,1,0.845829,0.355632,-0.397616,0.826087,0.362109,-0.431807,1.11,0.713,1.815,-1.122,1.769
