frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
400,13.3,0.93,1,0.601535,0.353835,-0.716209,0.522835,0.289506,-0.801766,0.638,0.401,0.553,-0.822,0.794
403,13.4,0.98,1,0.627854,0.360989,-0.689556,0.573858,0.292399,-0.764977,0.691,0.422,0.575,-0.909,0.899
404,13.433,0.98,1,0.633219,0.357965,-0.686218,0.580651,0.286366,-0.762128,0.698,0.419,0.578,-0.94,0.947
405,13.467,0.98,1,0.641947,0.352008,-0.681172,0.59217,0.276618,-0.756847,0.709,0.412,0.581,-0.959,0.995
406,13.5,0.98,1,0.650979,0.349019,-0.674101,0.602187,0.269511,-0.751488,0.721,0.409,0.588,-0.965,1.035
407,13.533,0.98,1,0.655909,0.347371,-0.670161,0.609382,0.266307,-0.746816,0.729,0.409,0.583,-0.96,1.049
408,13.567,0.98,1,0.651626,0.345888,-0.675089,0.608929,0.263827,-0.748064,0.725,0.405,0.581,-0.956,1.069
418,13.9,0.98,1,0.608864,0.356667,-0.708572,0.574004,0.271239,-0.772624,0.674,0.401,0.532,-0.891,1.092
421,14.0,0.98,1,0.605178,0.363458,-0.708278,0.552718,0.277589,-0.785779,0.659,0.405,0.56,-0.856,1.026
422,14.033,0.98,1,0.591955,0.37286,-0.714538,0.534589,0.290614,-0.793573,0.642,0.414,0.577,-0.81,0.967
423,14.067,0.93,1,0.5498,0.393299,-0.73691,0.490033,0.319618,-0.810995,0.592,0.432,0.596,-0.735,0.903
424,14.1,0.77,1,0.522601,0.407827,-0.748709,0.465468,0.338633,-0.817721,0.563,0.445,0.59,-0.675,0.895
449,14.933,0.93,1,0.85683,0.24206,-0.455247,0.832733,0.177748,-0.524367,1.045,0.405,0.868,-1.301,1.248
450,14.967,0.88,1,0.854427,0.278836,-0.438413,0.833165,0.219997,-0.507383,1.06,0.485,1.372,-1.308,1.705
451,15.0,0.98,1,0.841292,0.306767,-0.445109,0.830865,0.257751,-0.493181,1.059,0.542,1.707,-1.237,1.981
458,15.233,0.98,1,0.857147,0.218936,-0.466226,0.831569,0.213467,-0.512763,1.045,0.416,1.825,-1.328,1.753
459,15.267,0.98,1,0.848957,0.233642,-0.474007,0.829266,0.216538,-0.515199,1.038,0.427,1.838,-1.296,1.82
460,15.3,0.98,1,0.835846,0.243412,-0.492048,0.820629,0.223546,-0.525924,1.02,0.43,1.731,-1.274,1.743
467,15.533,0.98,1,0.813811,0.257724,-0.520855,0.775053,0.242148,-0.583658,0.963,0.425,1.143,-1.26,1.16
468,15.567,0.98,1,0.81222,0.260433,-0.52199,0.770672,0.247663,-0.587135,0.96,0.43,1.142,-1.258,1.15
469,15.6,0.98,1,0.806983,0.258465,-0.531013,0.764702,0.248637,-0.594483,0.949,0.423,1.103,-1.251,1.086
470,15.633,0.98,1,0.805648,0.249493,-0.537294,0.760545,0.240004,-0.603299,0.941,0.405,1.0,-1.246,0.972
475,15.8,0.98,1,0.808026,0.250461,-0.533256,0.762098,0.241033,-0.600925,0.945,0.409,0.855,-1.23,0.817
488,16.233,0.98,1,0.84085,0.236823,-0.48671,0.801404,0.22514,-0.554133,1.006,0.418,1.32,-1.311,1.293
