frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
1,0.0,0.03,1,0.744656,0.314672,-0.588616,0.710835,0.264569,-0.651703,0.865,0.437,0.934,-1.028,1.226
4,0.1,0.98,1,0.736969,0.341536,-0.583292,0.708511,0.298412,-0.639501,0.869,0.482,1.013,-1.009,1.278
5,0.134,0.98,1,0.7392,0.345888,-0.57788,0.712178,0.305582,-0.631998,0.876,0.494,1.043,-1.015,1.297
6,0.167,0.98,1,0.738891,0.347347,-0.577399,0.71197,0.306721,-0.631681,0.876,0.496,1.059,-1.015,1.306
7,0.201,0.98,1,0.741251,0.346358,-0.574964,0.715739,0.306031,-0.627744,0.881,0.497,1.068,-1.018,1.311
8,0.234,0.98,1,0.740878,0.346354,-0.575446,0.717034,0.305794,-0.626381,0.881,0.497,1.085,-1.021,1.328
9,0.267,0.98,1,0.741069,0.346492,-0.575117,0.718831,0.306905,-0.623772,0.883,0.499,1.096,-1.024,1.338
10,0.301,0.98,1,0.740107,0.350135,-0.574149,0.718793,0.312089,-0.621239,0.884,0.506,1.111,-1.021,1.346
11,0.334,0.98,1,0.740117,0.350416,-0.573965,0.720951,0.314102,-0.617714,0.887,0.509,1.117,-1.021,1.348
12,0.368,0.98,1,0.738186,0.354907,-0.573692,0.719017,0.320017,-0.616931,0.886,0.516,1.127,-1.018,1.352
13,0.401,0.98,1,0.738546,0.356734,-0.572093,0.719943,0.322934,-0.614325,0.888,0.52,1.138,-1.016,1.359
14,0.435,0.98,1,0.735023,0.356985,-0.576457,0.717772,0.325063,-0.615742,0.884,0.52,1.135,-1.012,1.356
15,0.468,0.98,1,0.736043,0.358134,-0.574439,0.717979,0.326172,-0.614913,0.885,0.522,1.142,-1.013,1.364
16,0.501,0.98,1,0.733952,0.360315,-0.57575,0.71574,0.327816,-0.616647,0.882,0.523,1.14,-1.01,1.363
17,0.535,0.98,1,0.73133,0.363354,-0.577175,0.711511,0.330783,-0.619948,0.878,0.525,1.141,-1.006,1.364
18,0.568,0.98,1,0.729929,0.363952,-0.578569,0.710801,0.330535,-0.620893,0.877,0.525,1.146,-1.002,1.369
19,0.602,0.98,1,0.728947,0.365279,-0.57897,0.710414,0.332191,-0.620453,0.876,0.527,1.149,-1.0,1.373
20,0.635,0.98,1,0.728298,0.366766,-0.578848,0.709605,0.333658,-0.620591,0.876,0.529,1.149,-1.0,1.376
21,0.668,0.98,1,0.726901,0.367485,-0.580147,0.708519,0.334809,-0.621211,0.874,0.529,1.151,-0.999,1.381
22,0.702,0.98,1,0.727417,0.365384,-0.580826,0.708283,0.331429,-0.62329,0.873,0.525,1.147,-1.001,1.382
23,0.735,0.98,1,0.729571,0.364064,-0.578951,0.710042,0.329046,-0.62255,0.875,0.523,1.15,-1.006,1.388
24,0.769,0.98,1,0.730865,0.361218,-0.579101,0.711501,0.325247,-0.622881,0.876,0.519,1.145,-1.01,1.39
25,0.802,0.98,1,0.733634,0.361527,-0.575395,0.715336,0.324976,-0.618615,0.882,0.522,1.148,-1.014,1.397
26,0.836,0.98,1,0.735263,0.362003,-0.573012,0.718099,0.323205,-0.616338,0.885,0.523,1.155,-1.019,1.413
27,0.869,0.98,1,0.737182,0.36272,-0.570084,0.721302,0.325703,-0.611261,0.89,0.528,1.165,-1.023,1.431
28,0.902,0.98,1,0.73512,0.370205,-0.567932,0.720895,0.335415,-0.606471,0.892,0.541,1.194,-1.027,1.469
29,0.936,0.98,1,0.737211,0.369621,-0.565597,0.725088,0.33139,-0.603679,0.896,0.54,1.19,-1.028,1.489
30,0.969,0.98,1,0.734207,0.365131,-0.57238,0.726392,0.325485,-0.605321,0.892,0.53,1.17,-1.021,1.501
31,1.003,0.98,1,0.724289,0.366897,-0.583773,0.717652,0.32476,-0.61604,0.877,0.523,1.121,-0.999,1.487
32,1.036,0.88,1,0.704416,0.373162,-0.603779,0.695911,0.322922,-0.641428,0.844,0.51,1.028,-0.955,1.442
33,1.07,0.82,1,0.676747,0.366653,-0.638419,0.6691,0.312393,-0.674326,0.798,0.477,0.92,-0.907,1.369
36,1.17,0.82,1,0.633186,0.377592,-0.675648,0.609668,0.308064,-0.730343,0.724,0.454,0.825,-0.836,1.324
39,1.27,0.82,1,0.62465,0.401603,-0.669722,0.599525,0.33994,-0.724576,0.721,0.489,0.888,-0.808,1.327
49,1.604,0.98,1,0.628354,0.387974,-0.674275,0.596172,0.326691,-0.733384,0.716,0.47,0.852,-0.824,1.308
52,1.705,0.88,1,0.621621,0.390307,-0.679152,0.592383,0.331485,-0.734302,0.71,0.472,0.852,-0.82,1.299
53,1.738,0.82,1,0.611301,0.402901,-0.681162,0.578716,0.349397,-0.736892,0.698,0.488,0.866,-0.806,1.292
54,1.772,0.82,1,0.599623,0.410921,-0.686728,0.562382,0.359955,-0.744419,0.682,0.494,0.855,-0.8,1.284
55,1.805,0.82,1,0.602348,0.415909,-0.681319,0.562819,0.363267,-0.742476,0.686,0.501,0.871,-0.798,1.282
57,1.872,0.98,1,0.648228,0.381418,-0.659031,0.621522,0.324969,-0.712815,0.747,0.476,0.858,-0.86,1.272
58,1.905,0.98,1,0.637298,0.384681,-0.667736,0.608171,0.334055,-0.720094,0.731,0.478,0.81,-0.861,1.228
59,1.939,0.98,1,0.640677,0.381433,-0.666365,0.611848,0.330242,-0.718737,0.735,0.475,0.81,-0.865,1.213
60,1.972,0.82,1,0.638438,0.380321,-0.669143,0.60804,0.328075,-0.722949,0.73,0.471,0.782,-0.861,1.203
61,2.005,0.98,1,0.647018,0.372624,-0.665221,0.615351,0.313024,-0.723436,0.738,0.459,0.781,-0.865,1.214
63,2.072,0.98,1,0.657851,0.345192,-0.669383,0.630048,0.281896,-0.723584,0.746,0.423,0.736,-0.887,1.204
64,2.106,0.98,1,0.661148,0.337243,-0.670187,0.632438,0.26985,-0.726087,0.747,0.41,0.687,-0.89,1.174
66,2.173,0.98,1,0.657262,0.337823,-0.673708,0.621373,0.266906,-0.736653,0.736,0.405,0.678,-0.888,1.18
87,2.875,0.98,1,0.857858,0.277273,-0.432665,0.866534,0.230061,-0.442934,1.101,0.525,1.943,-1.176,2.38
88,2.908,0.98,1,0.859954,0.279049,-0.427331,0.871453,0.232729,-0.431748,1.11,0.537,1.948,-1.172,2.393
89,2.941,0.98,1,0.859479,0.277986,-0.428975,0.870823,0.230235,-0.43435,1.108,0.532,1.93,-1.176,2.388
90,2.975,0.98,1,0.858006,0.280505,-0.430283,0.869921,0.233124,-0.434615,1.107,0.536,1.92,-1.169,2.379
91,3.008,0.98,1,0.85489,0.28598,-0.432872,0.866816,0.238909,-0.437667,1.103,0.543,1.903,-1.157,2.347
92,3.042,0.98,1,0.8526,0.291759,-0.433532,0.865981,0.246004,-0.435383,1.103,0.554,1.917,-1.143,2.359
93,3.075,0.98,1,0.849093,0.296846,-0.436947,0.862649,0.253359,-0.437774,1.098,0.561,1.918,-1.133,2.349
94,3.108,0.98,1,0.848714,0.297476,-0.437255,0.862601,0.254772,-0.437047,1.098,0.563,1.923,-1.124,2.351
95,3.142,0.98,1,0.846477,0.296683,-0.442104,0.85999,0.254385,-0.442385,1.093,0.557,1.909,-1.12,2.331
96,3.175,0.98,1,0.843129,0.298311,-0.447375,0.855771,0.256038,-0.449555,1.085,0.554,1.889,-1.123,2.31
97,3.209,0.98,1,0.841599,0.299772,-0.449276,0.855116,0.258903,-0.449162,1.084,0.556,1.901,-1.114,2.316
