frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
1845,76.833,0.98,1,0.558558,0.568521,-0.603985,0.515288,0.493987,-0.700325,0.689,0.684,0.698,-0.797,0.826
1846,76.875,0.98,1,0.525188,0.561949,-0.639055,0.474947,0.473671,-0.741661,0.627,0.644,0.655,-0.753,0.785
1847,76.917,0.98,1,0.504405,0.557487,-0.659382,0.434368,0.456092,-0.776727,0.579,0.615,0.606,-0.713,0.749
1848,76.958,0.98,1,0.490712,0.547419,-0.677889,0.42857,0.464615,-0.774894,0.564,0.608,0.55,-0.672,0.709
3042,126.708,0.98,1,0.469664,0.562345,-0.680576,0.151007,0.564229,-0.811691,0.394,0.647,0.332,-0.256,-0.019
3043,126.75,0.98,1,0.410254,0.575768,-0.707236,0.094243,0.553454,-0.827531,0.318,0.634,0.331,-0.25,-0.007
3044,126.792,0.98,1,0.378793,0.589645,-0.713326,0.040781,0.559561,-0.827785,0.266,0.641,0.319,-0.264,0.01
3045,126.833,0.88,1,0.320797,0.653261,-0.685813,0.094552,0.555549,-0.82609,0.268,0.674,0.308,-0.395,0.034
3046,126.875,0.98,1,0.345479,0.609321,-0.713704,-0.046859,0.538122,-0.841563,0.19,0.636,0.301,-0.175,0.001
3047,126.917,0.98,1,0.303017,0.616067,-0.727078,-0.087643,0.54757,-0.832157,0.137,0.641,0.276,-0.188,0.024
3048,126.958,0.88,1,0.321994,0.578353,-0.749551,0.029112,0.550401,-0.834393,0.218,0.619,0.225,-0.291,0.047
3131,130.417,0.98,1,0.326655,0.547655,-0.770306,-0.028553,0.570745,-0.820631,0.185,0.613,0.338,-0.107,-0.009
3133,130.5,0.88,1,0.324264,0.604857,-0.727325,0.009732,0.534586,-0.845058,0.209,0.627,0.358,-0.175,-0.002
3135,130.583,0.88,1,0.309699,0.589217,-0.746264,0.021703,0.544126,-0.838723,0.206,0.621,0.368,-0.204,-0.002
3136,130.625,0.88,1,0.313956,0.585316,-0.747554,-0.000703,0.539149,-0.84221,0.195,0.616,0.375,-0.211,-0.003
3137,130.667,0.98,1,0.23328,0.643734,-0.728826,0.013441,0.501681,-0.864948,0.154,0.623,0.374,-0.188,-0.003
3250,135.375,0.98,1,0.370558,0.681077,-0.631522,0.010126,0.543033,-0.83965,0.253,0.694,0.472,-0.215,0.048
3251,135.417,0.98,1,0.26589,0.651011,-0.710976,0.051791,0.595903,-0.801385,0.207,0.689,0.487,-0.251,0.053
3252,135.458,0.98,1,0.294526,0.648053,-0.70234,0.050012,0.62362,-0.780126,0.228,0.709,0.486,-0.267,0.057
3253,135.5,0.98,1,0.313696,0.641599,-0.699961,0.023211,0.606398,-0.794822,0.222,0.696,0.489,-0.281,0.062
3254,135.542,0.98,1,0.343491,0.63998,-0.687342,0.052188,0.609517,-0.791054,0.262,0.702,0.494,-0.292,0.071
3255,135.583,0.98,1,0.364423,0.668577,-0.648229,0.025031,0.612703,-0.789917,0.264,0.728,0.494,-0.302,0.08
3256,135.625,0.98,1,0.425187,0.676842,-0.600917,0.15514,0.685592,-0.711263,0.416,0.804,0.49,-0.296,0.084
3257,135.667,0.98,1,0.452149,0.670256,-0.588488,0.180981,0.641129,-0.745788,0.443,0.777,0.489,-0.312,0.091
3258,135.708,0.98,1,0.443135,0.673199,-0.591975,0.191158,0.635198,-0.74832,0.442,0.773,0.484,-0.32,0.096
3259,135.75,0.98,1,0.447993,0.674212,-0.587145,0.187222,0.641569,-0.743866,0.445,0.78,0.483,-0.326,0.104
3260,135.792,0.98,1,0.455749,0.674279,-0.581068,0.189045,0.645267,-0.740198,0.454,0.785,0.485,-0.323,0.106
3261,135.833,0.98,1,0.449543,0.684852,-0.573489,0.178654,0.659161,-0.730472,0.449,0.801,0.493,-0.309,0.106
3262,135.875,0.98,1,0.455471,0.677749,-0.577236,0.151306,0.668444,-0.72821,0.435,0.801,0.491,-0.296,0.105
3263,135.917,0.98,1,0.473402,0.685259,-0.553453,0.155656,0.669904,-0.725947,0.457,0.814,0.484,-0.281,0.103
3264,135.958,0.98,1,0.459109,0.692773,-0.556134,0.172654,0.661189,-0.730082,0.457,0.811,0.479,-0.271,0.098
3265,136.0,0.98,1,0.448391,0.690435,-0.567667,0.177319,0.643589,-0.744548,0.445,0.794,0.472,-0.268,0.093
3266,136.042,0.98,1,0.467912,0.677437,-0.567571,0.198165,0.632869,-0.74847,0.469,0.783,0.468,-0.272,0.087
3267,136.083,0.98,1,0.461028,0.656753,-0.596765,0.191873,0.637156,-0.74647,0.452,0.767,0.467,-0.269,0.081
3268,136.125,0.98,1,0.462875,0.667791,-0.582925,0.199496,0.639737,-0.742252,0.464,0.779,0.463,-0.277,0.076
3269,136.167,0.98,1,0.459701,0.667475,-0.585792,0.197175,0.654137,-0.730224,0.463,0.788,0.462,-0.285,0.069
3270,136.208,0.98,1,0.478224,0.653113,-0.58715,0.179109,0.647589,-0.740641,0.46,0.775,0.455,-0.291,0.067
3271,136.25,0.98,1,0.471139,0.655074,-0.590683,0.19929,0.641035,-0.741186,0.466,0.772,0.459,-0.305,0.062
