frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
3006,125.207,0.77,1,0.407705,0.358616,-0.839745,-0.016291,0.447782,-0.893994,0.222,0.435,0.208,-0.131,-0.008
3007,125.249,0.77,1,0.329323,0.515345,-0.79118,0.212063,0.485044,-0.848388,0.319,0.548,0.351,-0.397,-0.027
6368,265.29,0.98,1,0.154369,0.398591,-0.904044,-0.067597,0.398965,-0.914471,0.048,0.413,0.161,-0.074,-0.012
6369,265.331,0.98,1,0.178842,0.445132,-0.877424,-0.084509,0.436968,-0.895498,0.053,0.462,0.205,-0.091,0.015
6370,265.373,0.98,1,0.265473,0.468771,-0.842483,-0.191755,0.445695,-0.874406,0.043,0.489,0.24,-0.11,0.033
6371,265.415,0.98,1,0.231245,0.482451,-0.844847,-0.15935,0.457486,-0.874822,0.042,0.5,0.272,-0.142,0.046
6372,265.456,0.98,1,0.246936,0.488928,-0.836644,-0.14499,0.465917,-0.872869,0.06,0.509,0.303,-0.159,0.05
6373,265.498,0.98,1,0.207183,0.471846,-0.856993,-0.130416,0.443219,-0.886876,0.044,0.483,0.351,-0.171,0.047
6374,265.54,0.88,1,0.224046,0.45649,-0.861057,-0.109547,0.439622,-0.891477,0.065,0.473,0.361,-0.19,0.056
6375,265.581,0.88,1,0.250979,0.426741,-0.868851,-0.039358,0.414632,-0.909137,0.118,0.442,0.347,-0.214,0.073
6376,265.623,0.88,1,0.242402,0.416168,-0.876382,0.004309,0.385533,-0.922684,0.136,0.419,0.329,-0.238,0.092
6377,265.665,0.88,1,0.254415,0.430957,-0.865765,0.006266,0.370887,-0.928657,0.144,0.42,0.318,-0.252,0.099
6378,265.706,0.88,1,0.315466,0.426592,-0.847644,0.006247,0.355893,-0.934506,0.179,0.414,0.305,-0.254,0.093
6379,265.748,0.88,1,0.282272,0.412213,-0.866258,0.011588,0.369045,-0.929339,0.162,0.41,0.305,-0.253,0.087
6380,265.79,0.88,1,0.283865,0.410588,-0.866509,0.001146,0.351497,-0.936188,0.157,0.4,0.305,-0.248,0.083
6382,265.873,0.88,1,0.295802,0.416366,-0.859733,-0.009234,0.342377,-0.939517,0.158,0.399,0.294,-0.246,0.085
6383,265.914,0.88,1,0.28023,0.416402,-0.864917,-0.009088,0.346366,-0.938055,0.149,0.4,0.294,-0.246,0.083
6384,265.956,0.88,1,0.296807,0.413061,-0.86098,-0.012338,0.357467,-0.933844,0.157,0.406,0.298,-0.249,0.083
6385,265.998,0.88,1,0.299109,0.417429,-0.858072,-0.015856,0.344751,-0.93856,0.156,0.401,0.295,-0.249,0.082
6386,266.039,0.88,1,0.317771,0.416141,-0.851967,-0.00087,0.348972,-0.937133,0.175,0.404,0.294,-0.25,0.085
6387,266.081,0.88,1,0.302999,0.416176,-0.857315,0.004909,0.339861,-0.940463,0.17,0.398,0.295,-0.25,0.084
6388,266.123,0.88,1,0.330512,0.423722,-0.84334,0.004784,0.3348,-0.942277,0.186,0.402,0.295,-0.251,0.083
6389,266.164,0.88,1,0.324346,0.420875,-0.847151,0.005943,0.339994,-0.940409,0.183,0.402,0.297,-0.253,0.079
6390,266.206,0.93,1,0.312416,0.407728,-0.857994,-0.022349,0.319272,-0.9474,0.159,0.383,0.282,-0.252,0.069
8878,369.872,0.77,1,-0.46088,0.342578,-0.818676,-0.634963,0.386417,-0.668957,-0.635,0.456,0.247,0.792,-0.307
8879,369.914,0.77,1,-0.509155,0.40009,-0.76203,-0.685775,0.467375,-0.557919,-0.736,0.581,0.464,0.912,-0.484
8880,369.955,0.77,1,-0.52872,0.440151,-0.725757,-0.718406,0.509311,-0.473808,-0.805,0.67,0.669,0.974,-0.653
8881,369.997,0.77,1,-0.533352,0.464588,-0.70689,-0.727623,0.533075,-0.431735,-0.836,0.72,0.809,1.003,-0.777
8882,370.039,0.77,1,-0.535626,0.46015,-0.708072,-0.710839,0.539569,-0.45119,-0.822,0.712,0.894,1.017,-0.859
8883,370.08,0.77,1,-0.536846,0.454291,-0.710926,-0.694704,0.543709,-0.47092,-0.806,0.701,0.969,1.031,-0.936
8884,370.122,0.77,1,-0.526595,0.445368,-0.724117,-0.693352,0.540455,-0.476625,-0.793,0.687,1.059,1.045,-1.026
9217,383.997,0.93,1,-0.199855,0.368155,-0.908031,-0.422542,0.4124,-0.807084,-0.348,0.427,0.201,0.337,0.019
9373,390.497,0.88,1,0.206268,0.410874,-0.888052,-0.072739,0.223067,-0.972086,0.072,0.328,0.155,-0.261,0.354
10397,433.163,0.93,1,0.106886,0.422511,-0.900033,-0.179562,0.444808,-0.877441,-0.041,0.454,0.165,0.113,-0.102
10398,433.205,0.93,1,0.094482,0.399366,-0.91191,-0.179958,0.393059,-0.901731,-0.047,0.412,0.139,0.153,-0.089
11196,466.455,0.98,1,-0.806674,0.348098,0.477603,-0.613758,0.115341,-0.781023,-1.36,0.991,0.093,1.278,-0.284
11310,471.204,0.98,1,-0.783721,0.540305,0.306352,-0.300763,0.186403,-0.935305,-1.045,0.857,0.93,1.14,-1.391
12469,519.496,0.88,1,-0.332424,0.347146,-0.876917,-0.597357,0.369294,-0.71189,-0.529,0.424,0.172,0.554,-0.027
12470,519.537,0.88,1,-0.331033,0.314303,-0.889736,-0.616761,0.3783,-0.690286,-0.54,0.413,0.181,0.558,-0.026
12471,519.579,0.88,1,-0.354725,0.323665,-0.877161,-0.606142,0.38602,-0.695399,-0.548,0.424,0.183,0.542,-0.019
12472,519.621,0.93,1,-0.362833,0.33773,-0.868499,-0.583221,0.40386,-0.704805,-0.541,0.44,0.199,0.556,-0.029
12473,519.662,0.93,1,-0.351113,0.292975,-0.889317,-0.561554,0.401507,-0.723498,-0.515,0.407,0.193,0.552,-0.031
12474,519.704,0.93,1,-0.365109,0.274009,-0.889727,-0.553657,0.402316,-0.729113,-0.516,0.396,0.181,0.552,-0.029
12490,520.371,0.88,1,0.085601,0.409222,-0.908411,-0.324443,0.287208,-0.901248,-0.131,0.367,0.106,0.293,-0.029
12861,535.829,0.98,1,-0.089686,0.299715,-0.949804,-0.308611,0.41057,-0.858016,-0.217,0.374,0.152,0.366,-0.242
