frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
6195,205.393,0.93,1,0.17759,0.627314,-0.758247,-0.017231,0.733149,-0.67985,0.111,0.758,0.527,0.019,-0.135
6196,205.426,0.93,1,0.181836,0.641449,-0.745305,0.011045,0.743058,-0.669136,0.136,0.775,0.549,0.013,-0.133
6197,205.459,0.93,1,0.18629,0.650029,-0.736721,0.003488,0.745938,-0.666006,0.134,0.783,0.568,0.009,-0.133
6198,205.493,0.93,1,0.170307,0.657183,-0.734238,-0.008539,0.752396,-0.658656,0.116,0.791,0.575,0.008,-0.132
6199,205.526,0.93,1,0.167884,0.664571,-0.728121,0.000139,0.756617,-0.653859,0.121,0.799,0.588,0.01,-0.132
6200,205.559,0.93,1,0.176368,0.672681,-0.718606,0.006677,0.747949,-0.663722,0.132,0.799,0.586,0.01,-0.125
6201,205.592,0.93,1,0.18539,0.662374,-0.725872,0.003427,0.741109,-0.671376,0.134,0.788,0.588,0.005,-0.122
6202,205.625,0.93,1,0.151821,0.702176,-0.695629,0.007966,0.771916,-0.635674,0.119,0.836,0.595,0.007,-0.119
6203,205.658,0.93,1,0.160393,0.699267,-0.696634,0.008289,0.775128,-0.631749,0.126,0.837,0.597,0.002,-0.118
6205,205.725,0.93,1,0.208667,0.720862,-0.660921,-0.076033,0.779806,-0.621387,0.103,0.864,0.64,0.001,-0.109
6209,205.857,0.93,1,0.162289,0.738608,-0.65431,-0.021503,0.772931,-0.634126,0.109,0.865,0.656,0.006,-0.097
16671,552.777,0.88,1,0.556717,0.592698,-0.582044,0.263244,0.414583,-0.871105,0.514,0.606,0.308,-0.635,0.187
16672,552.811,0.88,1,0.560514,0.620789,-0.548129,0.177468,0.422373,-0.888879,0.474,0.628,0.346,-0.647,0.205
16673,552.844,0.88,1,0.553955,0.637081,-0.535967,0.081392,0.442069,-0.893281,0.418,0.647,0.373,-0.666,0.217
16674,552.877,0.88,1,0.567842,0.641973,-0.515195,0.110623,0.476589,-0.872139,0.455,0.679,0.398,-0.695,0.231
16675,552.91,0.88,1,0.571973,0.636971,-0.516831,0.13634,0.532567,-0.835334,0.483,0.713,0.42,-0.713,0.244
16676,552.943,0.88,1,0.54493,0.63741,-0.544757,0.158793,0.554568,-0.816847,0.477,0.719,0.438,-0.733,0.256
16677,552.976,0.88,1,0.491859,0.637248,-0.593287,0.206072,0.587295,-0.7827,0.469,0.727,0.46,-0.759,0.272
16678,553.01,0.98,1,0.397424,0.565379,-0.722773,0.342359,0.527824,-0.777298,0.458,0.63,0.49,-0.803,0.215
16679,553.043,0.88,1,0.340865,0.545226,-0.765859,0.293746,0.575747,-0.763039,0.393,0.633,0.495,-0.712,0.158
16680,553.076,0.98,1,0.367622,0.580027,-0.726927,0.294686,0.568986,-0.767734,0.417,0.655,0.498,-0.763,0.186
16682,553.142,0.98,1,0.275154,0.537971,-0.796792,0.313494,0.565736,-0.762669,0.361,0.616,0.526,-0.766,0.162
16683,553.175,0.98,1,0.280618,0.571406,-0.7712,0.349702,0.58159,-0.73448,0.396,0.654,0.536,-0.765,0.164
16684,553.209,0.98,1,0.290674,0.565183,-0.77206,0.319343,0.550166,-0.771581,0.376,0.626,0.546,-0.789,0.174
16685,553.242,0.98,1,0.322046,0.513784,-0.795181,0.304294,0.565896,-0.766269,0.381,0.605,0.511,-0.77,0.173
16688,553.341,0.98,1,0.461533,0.62355,-0.63101,0.15332,0.52897,-0.834676,0.397,0.666,0.424,-0.641,0.14
16689,553.374,0.98,1,0.459878,0.617994,-0.637649,0.18666,0.525183,-0.830265,0.415,0.662,0.396,-0.581,0.123
16690,553.407,0.98,1,0.45489,0.637542,-0.621784,0.234712,0.548746,-0.802364,0.451,0.695,0.372,-0.526,0.108
16691,553.441,0.98,1,0.419009,0.660347,-0.623196,0.033737,0.523249,-0.851512,0.298,0.676,0.334,-0.465,0.099
