frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
56,1.833,0.98,1,0.831499,0.29297,-0.471993,0.805155,0.204909,-0.556541,1.01,0.451,0.93,-1.217,1.47
57,1.867,0.98,1,0.831019,0.313457,-0.459512,0.803963,0.229408,-0.548649,1.018,0.494,1.009,-1.205,1.519
62,2.033,0.98,1,0.777364,0.425502,-0.463307,0.74827,0.398863,-0.530095,0.994,0.693,1.336,-1.01,1.412
63,2.067,0.98,1,0.777017,0.42645,-0.463017,0.746309,0.401392,-0.530949,0.993,0.694,1.337,-1.007,1.41
64,2.1,0.98,1,0.773632,0.431025,-0.464446,0.743296,0.408257,-0.52994,0.991,0.701,1.346,-1.001,1.416
65,2.133,0.98,1,0.775247,0.427186,-0.465301,0.745949,0.402948,-0.530276,0.991,0.695,1.346,-1.004,1.419
66,2.167,0.98,1,0.769628,0.431207,-0.470885,0.740355,0.406065,-0.535711,0.983,0.694,1.336,-1.0,1.404
67,2.2,0.98,1,0.767306,0.429003,-0.476653,0.738926,0.402194,-0.540582,0.977,0.685,1.316,-0.999,1.382
68,2.233,0.98,1,0.766389,0.432872,-0.474627,0.736686,0.405765,-0.54097,0.977,0.69,1.298,-0.996,1.369
69,2.267,0.98,1,0.765649,0.438159,-0.470954,0.734216,0.411551,-0.539956,0.978,0.699,1.295,-0.989,1.366
70,2.3,0.98,1,0.760043,0.44383,-0.474711,0.730457,0.419138,-0.539218,0.973,0.705,1.285,-0.979,1.356
71,2.333,0.98,1,0.761089,0.445274,-0.471672,0.733272,0.421879,-0.533226,0.979,0.712,1.307,-0.972,1.386
72,2.367,0.98,1,0.757577,0.448841,-0.47394,0.731105,0.423165,-0.535179,0.975,0.713,1.292,-0.969,1.389
73,2.4,0.98,1,0.749367,0.452107,-0.483784,0.722999,0.426151,-0.543754,0.961,0.707,1.272,-0.961,1.374
74,2.433,0.98,1,0.752967,0.449214,-0.480883,0.725396,0.422278,-0.543583,0.965,0.705,1.258,-0.969,1.369
75,2.467,0.98,1,0.753769,0.449923,-0.478959,0.721459,0.42162,-0.549302,0.962,0.703,1.255,-0.978,1.368
76,2.5,0.98,1,0.760118,0.441231,-0.477006,0.729031,0.415293,-0.544101,0.97,0.698,1.249,-0.992,1.371
95,3.133,0.98,1,0.847902,0.31522,-0.426261,0.832534,0.278302,-0.478994,1.077,0.58,1.41,-1.223,1.574
