frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
1419,47.267,0.82,1,0.60437,0.491489,-0.627037,0.499857,0.522416,-0.690814,0.697,0.656,1.212,-0.626,0.952
1420,47.3,0.82,1,0.597529,0.491274,-0.633726,0.491004,0.529481,-0.691784,0.688,0.656,1.212,-0.621,0.952
1421,47.333,0.82,1,0.590317,0.492888,-0.639208,0.4827,0.535373,-0.693092,0.678,0.657,1.215,-0.616,0.957
1422,47.367,0.82,1,0.590829,0.491746,-0.639615,0.482574,0.532165,-0.695646,0.677,0.654,1.217,-0.619,0.964
1423,47.4,0.82,1,0.59462,0.488813,-0.638349,0.487642,0.525393,-0.697257,0.681,0.649,1.218,-0.626,0.966
1424,47.433,0.82,1,0.595674,0.491513,-0.635286,0.48867,0.525086,-0.696768,0.683,0.652,1.22,-0.633,0.975
1425,47.467,0.82,1,0.591975,0.48944,-0.640324,0.484406,0.521972,-0.702065,0.676,0.646,1.213,-0.634,0.97
1426,47.5,0.82,1,0.589356,0.487396,-0.644286,0.480866,0.520061,-0.705906,0.67,0.641,1.211,-0.633,0.967
1427,47.533,0.82,1,0.585694,0.489864,-0.645752,0.474561,0.524133,-0.707161,0.665,0.643,1.209,-0.634,0.964
1428,47.567,0.82,1,0.590207,0.491782,-0.640161,0.4791,0.525959,-0.702731,0.672,0.649,1.204,-0.64,0.973
1429,47.6,0.82,1,0.59213,0.493323,-0.637193,0.480838,0.525451,-0.701923,0.676,0.65,1.204,-0.643,0.976
1430,47.633,0.82,1,0.587512,0.495323,-0.639911,0.474597,0.527855,-0.704363,0.669,0.651,1.206,-0.639,0.973
1431,47.667,0.82,1,0.586942,0.495126,-0.640585,0.473523,0.530239,-0.703294,0.668,0.652,1.202,-0.639,0.975
1432,47.7,0.82,1,0.58608,0.498381,-0.638848,0.472269,0.53843,-0.697894,0.67,0.66,1.199,-0.645,0.987
1433,47.733,0.82,1,0.58244,0.494679,-0.645024,0.470371,0.544623,-0.694361,0.666,0.66,1.176,-0.654,0.992
7381,246.0,0.98,1,0.222785,0.656127,-0.721016,0.021406,0.753897,-0.656644,0.175,0.797,0.854,-0.051,-0.171
13455,448.467,0.98,1,0.154865,0.576174,-0.802521,-0.201923,0.606304,-0.76917,-0.03,0.645,0.495,0.245,-0.32
17858,595.233,0.77,1,0.10967,0.59586,-0.795565,-0.052414,0.68694,-0.724822,0.038,0.701,0.649,0.364,-0.269
17859,595.267,0.77,1,0.11891,0.591119,-0.797771,-0.068711,0.680861,-0.729182,0.033,0.695,0.636,0.37,-0.269
17860,595.3,0.77,1,0.125908,0.586196,-0.800326,-0.091604,0.688722,-0.719216,0.023,0.698,0.626,0.369,-0.26
17861,595.333,0.77,1,0.116423,0.580943,-0.805575,-0.10362,0.681656,-0.724298,0.008,0.69,0.612,0.371,-0.254
