frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
2079,86.583,0.88,1,0.451781,0.406217,-0.79428,0.134703,0.301678,-0.943846,0.325,0.387,-0.056,-0.337,-0.078
2102,87.542,0.98,1,0.367241,0.289265,-0.884002,-0.130872,0.447125,-0.884846,0.133,0.394,0.061,-0.021,-0.217
2103,87.583,0.98,1,0.304446,0.309828,-0.900733,-0.095736,0.432306,-0.896631,0.116,0.392,0.103,-0.02,-0.215
2107,87.75,0.98,1,0.25767,0.318416,-0.912259,-0.092114,0.406315,-0.909078,0.091,0.379,0.139,0.023,-0.24
2938,122.375,0.98,1,0.440146,0.403733,-0.802042,0.219836,0.339481,-0.914563,0.367,0.409,0.028,-0.369,-0.005
2939,122.417,0.98,1,0.445547,0.397119,-0.802361,0.20228,0.344745,-0.916642,0.36,0.407,0.017,-0.373,-0.012
2940,122.458,0.98,1,0.439489,0.401209,-0.803667,0.229321,0.357578,-0.90529,0.373,0.418,0.021,-0.376,-0.014
2941,122.5,0.98,1,0.393197,0.402756,-0.826549,0.200035,0.344204,-0.917339,0.328,0.405,0.008,-0.377,-0.02
2942,122.542,0.98,1,0.405899,0.401986,-0.820764,0.183164,0.347653,-0.919559,0.326,0.407,0.008,-0.373,-0.02
3950,164.542,0.88,1,0.345147,0.385767,-0.855604,0.005992,0.42648,-0.904477,0.197,0.432,0.074,-0.279,-0.131
3952,164.625,0.98,1,0.360546,0.342623,-0.867535,0.134369,0.401183,-0.906089,0.272,0.397,0.071,-0.328,-0.121
4142,172.542,0.98,1,0.407648,0.401723,-0.820026,0.104674,0.347278,-0.931902,0.285,0.404,0.076,-0.346,-0.151
4143,172.583,0.98,1,0.417933,0.386726,-0.822055,0.103839,0.368021,-0.924001,0.29,0.408,0.077,-0.347,-0.149
4144,172.625,0.98,1,0.430722,0.382212,-0.817553,0.140569,0.369884,-0.918383,0.318,0.409,0.082,-0.355,-0.148
4145,172.667,0.98,1,0.441193,0.371275,-0.817009,0.131937,0.375872,-0.917231,0.319,0.407,0.081,-0.355,-0.146
4615,192.25,0.98,1,0.062618,0.245983,-0.967249,-0.223905,0.418778,-0.880052,-0.087,0.345,-0.024,0.248,-0.332
4616,192.292,0.98,1,0.011739,0.261239,-0.965203,-0.216357,0.412063,-0.885096,-0.11,0.349,-0.024,0.273,-0.318
4618,192.375,0.98,1,0.002808,0.242875,-0.970054,-0.232053,0.405084,-0.884341,-0.123,0.336,-0.011,0.334,-0.304
4703,195.917,0.98,1,-0.001718,0.299681,-0.954038,-0.141343,0.462172,-0.875454,-0.078,0.395,0.004,0.229,-0.429
4704,195.958,0.98,1,0.017135,0.278751,-0.960211,-0.140801,0.466108,-0.873452,-0.067,0.386,0.017,0.231,-0.419
4705,196.0,0.98,1,0.052236,0.29203,-0.954982,-0.142666,0.462658,-0.874982,-0.049,0.391,0.001,0.217,-0.397
4706,196.042,0.98,1,0.033332,0.288729,-0.956831,-0.181563,0.438392,-0.880254,-0.081,0.377,-0.037,0.212,-0.367
4802,200.042,0.98,1,0.215171,0.398896,-0.891394,-0.08657,0.407381,-0.909146,0.071,0.421,0.027,-0.015,-0.11
4803,200.083,0.98,1,0.210602,0.408627,-0.888071,-0.082174,0.405157,-0.910547,0.071,0.425,0.039,-0.018,-0.105
4804,200.125,0.98,1,0.204015,0.399115,-0.893916,-0.069953,0.398001,-0.914714,0.074,0.415,0.03,-0.02,-0.108
4805,200.167,0.98,1,0.207947,0.409274,-0.888399,-0.074381,0.391346,-0.917233,0.074,0.417,0.034,-0.02,-0.101
4806,200.208,0.98,1,0.20096,0.405646,-0.891665,-0.071466,0.393354,-0.916605,0.071,0.416,0.025,-0.02,-0.098
4807,200.25,0.98,1,0.213047,0.406626,-0.888407,-0.069834,0.392716,-0.917004,0.079,0.417,0.023,-0.022,-0.093
4808,200.292,0.98,1,0.212072,0.391999,-0.895189,-0.080528,0.380559,-0.921244,0.072,0.402,0.015,-0.024,-0.091
4809,200.333,0.98,1,0.216903,0.395349,-0.892554,-0.080365,0.379459,-0.921712,0.075,0.404,0.014,-0.027,-0.086
4810,200.375,0.98,1,0.213583,0.399767,-0.891386,-0.062374,0.382459,-0.921865,0.083,0.407,0.013,-0.026,-0.084
4811,200.417,0.98,1,0.231901,0.390921,-0.890732,-0.073318,0.392074,-0.917007,0.088,0.409,0.001,-0.025,-0.079
4820,200.792,0.98,1,0.208715,0.351445,-0.912647,-0.15006,0.407717,-0.900694,0.032,0.396,0.015,-0.017,-0.066
4821,200.833,0.98,1,0.213005,0.346701,-0.91347,-0.159723,0.408182,-0.898819,0.029,0.395,0.02,-0.019,-0.057
4822,200.875,0.98,1,0.209826,0.350117,-0.912903,-0.159402,0.402772,-0.901313,0.028,0.393,0.031,-0.018,-0.053
4824,200.958,0.98,1,0.190714,0.389363,-0.901124,-0.171596,0.401739,-0.899534,0.011,0.414,0.052,0.002,-0.03
4825,201.0,0.98,1,0.122695,0.38953,-0.912805,-0.231208,0.415332,-0.879797,-0.06,0.422,0.058,0.001,-0.018
4826,201.042,0.98,1,0.103342,0.402739,-0.909462,-0.225684,0.413341,-0.882166,-0.068,0.427,0.067,0.024,-0.01
4827,201.083,0.98,1,0.096314,0.387673,-0.916751,-0.213335,0.407067,-0.888136,-0.065,0.415,0.073,0.022,-0.001
4828,201.125,0.98,1,0.091923,0.392786,-0.915024,-0.214089,0.409827,-0.886683,-0.068,0.419,0.086,0.03,0.001
4829,201.167,0.98,1,0.093934,0.375479,-0.922058,-0.204413,0.413268,-0.88737,-0.061,0.411,0.094,0.028,0.003
4830,201.208,0.98,1,0.090341,0.390616,-0.91611,-0.214346,0.42462,-0.879633,-0.069,0.426,0.108,0.033,0.005
4831,201.25,0.98,1,0.093647,0.375084,-0.922249,-0.20725,0.430836,-0.87831,-0.063,0.421,0.112,0.035,0.004
4832,201.292,0.98,1,0.114608,0.389206,-0.913993,-0.204121,0.434348,-0.877312,-0.05,0.431,0.113,0.029,0.006
4833,201.333,0.98,1,0.117524,0.395073,-0.911101,-0.220388,0.430926,-0.875061,-0.058,0.433,0.114,0.041,0.0
4834,201.375,0.98,1,0.107524,0.414376,-0.903732,-0.207328,0.424114,-0.881557,-0.056,0.439,0.107,0.047,-0.003
4842,201.708,0.98,1,0.228576,0.35239,-0.90751,-0.083591,0.406611,-0.909769,0.08,0.396,0.015,-0.006,-0.1
4844,201.792,0.98,1,0.244206,0.344992,-0.90628,-0.066583,0.407821,-0.910631,0.097,0.393,0.017,-0.009,-0.12
4845,201.833,0.98,1,0.232651,0.353766,-0.905938,-0.061147,0.41371,-0.908353,0.094,0.4,0.026,-0.002,-0.127
4846,201.875,0.98,1,0.263226,0.348645,-0.899532,-0.062475,0.428671,-0.901298,0.111,0.407,0.037,-0.007,-0.134
4847,201.917,0.98,1,0.254978,0.338554,-0.905741,-0.067177,0.43452,-0.898153,0.104,0.405,0.046,-0.004,-0.138
4848,201.958,0.98,1,0.241796,0.33904,-0.909168,-0.072386,0.441533,-0.89432,0.094,0.408,0.044,0.001,-0.143
4849,202.0,0.98,1,0.207389,0.346239,-0.914936,-0.050921,0.441037,-0.896043,0.086,0.41,0.041,0.002,-0.142
4850,202.042,0.98,1,0.213149,0.343308,-0.914717,-0.072984,0.442529,-0.893779,0.077,0.41,0.041,0.001,-0.142
4851,202.083,0.98,1,0.203756,0.342684,-0.917088,-0.077895,0.439284,-0.894965,0.069,0.407,0.046,-0.003,-0.136
4852,202.125,0.98,1,0.215503,0.351847,-0.910913,-0.081039,0.446105,-0.891304,0.074,0.417,0.04,-0.0,-0.136
4853,202.167,0.98,1,0.226986,0.333618,-0.914973,-0.072499,0.437968,-0.896062,0.085,0.403,0.039,-0.005,-0.137
4854,202.208,0.98,1,0.218223,0.349231,-0.911272,-0.089538,0.434758,-0.896085,0.071,0.409,0.037,-0.007,-0.138
4855,202.25,0.98,1,0.210086,0.346931,-0.914058,-0.103073,0.438549,-0.892777,0.059,0.41,0.046,0.01,-0.135
4856,202.292,0.98,1,0.210651,0.372492,-0.903812,-0.093802,0.449221,-0.888483,0.065,0.43,0.048,0.004,-0.133
4857,202.333,0.98,1,0.21522,0.357653,-0.908716,-0.09956,0.447197,-0.888877,0.064,0.421,0.042,0.011,-0.131
4858,202.375,0.98,1,0.206631,0.355955,-0.911372,-0.099717,0.426405,-0.899019,0.059,0.408,0.032,0.017,-0.127
4889,203.667,0.98,1,0.022779,0.353337,-0.935219,-0.380008,0.404043,-0.832072,-0.199,0.405,0.06,0.202,0.065
4918,204.875,0.98,1,0.472442,0.483765,-0.736729,0.126457,0.383267,-0.91494,0.348,0.483,0.272,-0.117,0.271
4919,204.917,0.98,1,0.492358,0.444772,-0.748172,0.139029,0.356312,-0.923966,0.361,0.447,0.22,-0.184,0.273
4920,204.958,0.98,1,0.517628,0.463227,-0.719362,0.191335,0.382338,-0.903996,0.412,0.48,0.234,-0.247,0.273
4921,205.0,0.98,1,0.515358,0.425315,-0.743985,0.217432,0.399997,-0.890351,0.421,0.468,0.191,-0.296,0.263
4922,205.042,0.98,1,0.530036,0.400116,-0.747642,0.208184,0.39918,-0.892925,0.423,0.453,0.188,-0.32,0.24
4965,206.833,0.98,1,0.453289,0.397113,-0.798016,0.243055,0.358202,-0.901452,0.389,0.418,0.033,-0.348,-0.103
4981,207.5,0.98,1,0.378425,0.344775,-0.859025,-0.045951,0.403724,-0.913726,0.185,0.4,0.058,-0.157,-0.222
4982,207.542,0.98,1,0.319965,0.392594,-0.86226,-0.055027,0.411561,-0.90972,0.148,0.426,0.122,-0.131,-0.211
4983,207.583,0.98,1,0.303701,0.37954,-0.873908,-0.066505,0.421015,-0.904612,0.133,0.423,0.115,-0.131,-0.192
4984,207.625,0.98,1,0.301868,0.337184,-0.89173,-0.077889,0.404994,-0.910995,0.124,0.391,0.089,-0.128,-0.198
4990,207.875,0.98,1,0.209304,0.308855,-0.927793,-0.066399,0.40723,-0.910909,0.078,0.371,0.019,-0.077,-0.334
4991,207.917,0.98,1,0.189083,0.323913,-0.927,-0.06434,0.414494,-0.907775,0.068,0.383,0.052,-0.072,-0.341
4992,207.958,0.98,1,0.158039,0.247945,-0.955797,-0.041977,0.40921,-0.911474,0.062,0.338,0.07,-0.059,-0.352
4993,208.0,0.98,1,0.176677,0.243864,-0.95358,-0.042219,0.412829,-0.909829,0.072,0.339,0.083,-0.038,-0.363
4994,208.042,0.98,1,0.165905,0.280602,-0.945377,-0.05887,0.420179,-0.90553,0.058,0.362,0.087,-0.003,-0.379
4995,208.083,0.98,1,0.200205,0.268444,-0.942261,-0.053292,0.423142,-0.904495,0.079,0.358,0.085,0.015,-0.391
4996,208.125,0.98,1,0.191949,0.262332,-0.945694,-0.047111,0.40464,-0.913262,0.078,0.344,0.085,0.034,-0.398
5002,208.375,0.98,1,0.142056,0.279248,-0.949653,-0.121784,0.420166,-0.899238,0.011,0.362,0.024,0.126,-0.336
5003,208.417,0.98,1,0.133545,0.288477,-0.948128,-0.146278,0.431102,-0.890367,-0.007,0.373,0.01,0.134,-0.325
5004,208.458,0.98,1,0.10316,0.279169,-0.954685,-0.162163,0.424041,-0.891007,-0.032,0.364,0.002,0.147,-0.316
5005,208.5,0.98,1,0.009051,0.310633,-0.950487,-0.190344,0.428117,-0.883451,-0.099,0.383,0.004,0.168,-0.312
5006,208.542,0.98,1,-0.036149,0.372533,-0.927314,-0.249794,0.487461,-0.836651,-0.161,0.454,0.033,0.183,-0.307
5007,208.583,0.98,1,-0.052948,0.398858,-0.915483,-0.263132,0.495467,-0.827813,-0.179,0.474,0.059,0.197,-0.304
5008,208.625,0.98,1,-0.065466,0.410826,-0.90936,-0.26726,0.489496,-0.830039,-0.189,0.478,0.089,0.2,-0.296
5009,208.667,0.98,1,-0.057711,0.417507,-0.906839,-0.262531,0.502884,-0.82352,-0.183,0.489,0.114,0.209,-0.298
5010,208.708,0.98,1,-0.060366,0.423986,-0.903655,-0.282438,0.506238,-0.814832,-0.197,0.496,0.123,0.216,-0.299
5011,208.75,0.98,1,-0.058467,0.412861,-0.908915,-0.260921,0.502843,-0.824057,-0.182,0.486,0.125,0.233,-0.303
5012,208.792,0.98,1,-0.056479,0.404408,-0.912833,-0.25391,0.500084,-0.827917,-0.176,0.479,0.128,0.23,-0.298
5013,208.833,0.98,1,-0.057862,0.392358,-0.917991,-0.270694,0.48261,-0.832954,-0.185,0.463,0.108,0.241,-0.302
5014,208.875,0.98,1,-0.073499,0.381944,-0.921258,-0.247023,0.45322,-0.856488,-0.178,0.439,0.072,0.239,-0.297
5015,208.917,0.98,1,-0.07626,0.410442,-0.908692,-0.217549,0.454125,-0.863969,-0.164,0.454,0.046,0.235,-0.277
5016,208.958,0.93,1,-0.077333,0.367308,-0.926879,-0.223221,0.446198,-0.866649,-0.166,0.426,0.013,0.243,-0.267
5017,209.0,0.93,1,-0.07995,0.348215,-0.933999,-0.228108,0.443916,-0.866548,-0.169,0.414,-0.016,0.242,-0.255
5018,209.042,0.98,1,-0.079315,0.365877,-0.927277,-0.223765,0.447516,-0.865828,-0.167,0.426,-0.026,0.247,-0.243
5019,209.083,0.98,1,-0.061954,0.360349,-0.930758,-0.22258,0.460456,-0.859324,-0.158,0.43,-0.025,0.238,-0.245
5020,209.125,0.88,1,-0.061026,0.358542,-0.931517,-0.247559,0.468821,-0.847892,-0.172,0.435,-0.011,0.235,-0.251
5021,209.167,0.93,1,-0.07156,0.374137,-0.924609,-0.237128,0.484714,-0.841916,-0.173,0.453,0.026,0.224,-0.266
5022,209.208,0.98,1,-0.058479,0.385609,-0.920807,-0.239736,0.502194,-0.83086,-0.169,0.469,0.066,0.205,-0.276
