frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
1068,35.602,0.88,1,0.341101,0.711682,-0.614133,-0.013505,0.821887,-0.569491,0.27,0.913,0.907,0.048,-0.449
1069,35.636,0.88,1,0.246529,0.714551,-0.654706,0.025727,0.821398,-0.569775,0.219,0.898,0.934,0.03,-0.446
2307,76.944,0.88,1,0.629893,0.477025,-0.612929,0.38975,0.494138,-0.777125,0.633,0.61,0.663,-0.649,0.239
2308,76.977,0.98,1,0.599745,0.534308,-0.595668,0.470916,0.504788,-0.723482,0.682,0.667,0.682,-0.75,0.298
2365,78.879,0.93,1,0.217692,0.537553,-0.814645,-0.04897,0.586193,-0.80869,0.104,0.606,0.379,-0.057,-0.107
